Time,PTime,LED,Speaker,Control,Energy,Theta,dTheta,Phi,dPhi
0.000000,0.000089,0,0,-0.0000,-2.00000000,-3.14159000,0.00000000,0.00000000,0.00000000
0.000000,0.000095,0,1,-0.0000,-2.00000000,-3.14159000,0.00000000,0.00000000,0.00000000
0.005000,0.005277,0,1,-0.5000,-2.00000000,-3.14159000,-0.00000042,0.00000000,-0.00000001
0.007644,0.007743,0,0,-0.5000,-2.00000000,-3.14159000,-0.00000042,0.00000000,-0.00000001
0.010000,0.010132,0,0,-0.5000,-1.99960047,-3.14159000,-0.17808572,-0.00000000,-0.47811450
0.015000,0.015328,0,0,-0.5000,-1.99840150,-3.14248043,-0.35617102,-0.00239057,-0.95622899
0.015288,0.015340,0,1,-0.5000,-1.99840150,-3.14248043,-0.35617102,-0.00239057,-0.95622899
0.020000,0.020199,0,1,-0.5000,-1.99640252,-3.14426129,-0.53412084,-0.00717172,-1.43434074
0.022932,0.023134,0,0,-0.5000,-1.99640252,-3.14426129,-0.53412084,-0.00717172,-1.43434074
0.025000,0.025280,0,0,-0.5000,-1.99360278,-3.14693189,-0.71181439,-0.01434342,-1.91244645
0.030000,0.030284,0,0,-0.5000,-1.99000071,-3.15049096,-0.88915727,-0.02390565,-2.39054155
0.030576,0.030725,0,1,-0.5000,-1.99000071,-3.15049096,-0.88915727,-0.02390565,-2.39054155
0.035000,0.035280,0,1,-0.5000,-1.98559307,-3.15493675,-1.06609319,-0.03585836,-2.86861930
0.038220,0.038292,0,0,-0.5000,-1.98559307,-3.15493675,-1.06609319,-0.03585836,-2.86861930
0.040000,0.040188,0,0,-0.5000,-1.98037371,-3.16026721,-1.24261558,-0.05020146,-3.34666987
0.045000,0.045211,0,0,-0.5000,-1.97433212,-3.16648029,-1.41877908,-0.06693481,-3.82467967
0.045865,0.045995,0,1,-0.5000,-1.97433212,-3.16648029,-1.41877908,-0.06693481,-3.82467967
0.050000,0.050241,0,1,-0.5000,-1.96745156,-3.17357419,-1.59471093,-0.08605821,-4.30263132
0.053509,0.053740,0,0,-0.5000,-1.96745156,-3.17357419,-1.59471093,-0.08605821,-4.30263132
0.055000,0.055223,0,0,-0.5000,-1.95970703,-3.18154774,-1.77062213,-0.10757136,-4.78050446
0.060000,0.060130,0,0,-0.5000,-1.95106281,-3.19040085,-1.94681836,-0.13147388,-5.25827736
0.061153,0.061219,0,1,-0.5000,-1.95106281,-3.19040085,-1.94681836,-0.13147388,-5.25827736
0.065000,0.065229,0,1,-0.5000,-1.94146971,-3.20013494,-2.12371077,-0.15776527,-5.73592902
0.068797,0.069025,0,0,-0.5000,-1.94146971,-3.20013494,-2.12371077,-0.15776527,-5.73592902
0.070000,0.070120,0,0,-0.5000,-1.93086199,-3.21075350,-2.30182639,-0.18644492,-6.21344095
0.075000,0.075261,0,0,-0.5000,-1.91915381,-3.22226263,-2.48181829,-0.21751212,-6.69079774
0.076441,0.076556,0,1,-0.5000,-1.91915381,-3.22226263,-2.48181829,-0.21751212,-6.69079774
0.080000,0.080131,0,1,-0.5000,-1.90623527,-3.23467172,-2.66447550,-0.25096611,-7.16798527
0.084085,0.084211,0,0,-0.5000,-1.90623527,-3.23467172,-2.66447550,-0.25096611,-7.16798527
0.085000,0.085118,0,0,-0.5000,-1.89196784,-3.24799410,-2.85073247,-0.28680604,-7.64498538
0.090000,0.090209,0,0,-0.5000,-1.87617914,-3.26224776,-3.04167827,-0.32503096,-8.12176632
0.091729,0.091842,0,1,-0.5000,-1.87617914,-3.26224776,-3.04167827,-0.32503096,-8.12176632
0.095000,0.095254,0,1,-0.5000,-1.85865695,-3.27745615,-3.23856508,-0.36563979,-8.59826880
0.099373,0.099618,0,0,-0.5000,-1.85865695,-3.27745615,-3.23856508,-0.36563979,-8.59826880
0.100000,0.100121,0,0,-0.5000,-1.83914220,-3.29364898,-3.44281593,-0.40863114,-9.07438901
0.105000,0.105236,0,0,-0.5000,-1.81732089,-3.31086306,-3.65603113,-0.45400308,-9.54996200
0.107017,0.107233,0,1,-0.5000,-1.81732089,-3.31086306,-3.65603113,-0.45400308,-9.54996200
0.110000,0.110244,0,1,-0.5000,-1.79281479,-3.32914321,-3.87999290,-0.50175289,-10.02475192
0.114661,0.114897,0,0,-0.5000,-1.79281479,-3.32914321,-3.87999290,-0.50175289,-10.02475192
0.115000,0.115070,0,0,-0.5000,-1.76517061,-3.34854318,-4.11666746,-0.55187665,-10.49845945
0.120000,0.120131,0,0,-0.5000,-1.73384765,-3.36912652,-4.36820403,-0.60436895,-10.97075916
0.122305,0.122542,0,1,-0.5000,-1.73384765,-3.36912652,-4.36820403,-0.60436895,-10.97075916
0.125000,0.125084,0,1,-0.5000,-1.69820365,-3.39096754,-4.63693046,-0.65922275,-11.44137733
0.129950,0.130194,0,0,-0.5000,-1.69820365,-3.39096754,-4.63693046,-0.65922275,-11.44137733
0.130000,0.130219,0,0,-0.5000,-1.65747867,-3.41415219,-4.92534598,-0.71642963,-11.91020631
