Time,LED,Speaker,Control,Energy,Theta,dTheta,Phi,dPhi
0,0,0,0,-2,-3.1416,0,0,0
0,0,1,0,-2,-3.1416,0,0,0
0.005,0,1,-0.5,-2,-3.1416,0,0,0
0.00764,0,0,-0.5,-2,-3.1416,0,0,0
0.01,0,0,-0.5,-2,-3.1416,-0.0356,0,-0.0956
0.015,0,0,-0.5,-1.9999,-3.1416,-0.0712,-0.0001,-0.1912
0.01529,0,1,-0.5,-1.9999,-3.1416,-0.0712,-0.0001,-0.1912
0.02,0,1,-0.5,-1.9999,-3.1417,-0.1069,-0.0003,-0.2869
0.02293,0,0,-0.5,-1.9999,-3.1417,-0.1069,-0.0003,-0.2869
0.025,0,0,-0.5,-1.9997,-3.1418,-0.1425,-0.0006,-0.3825
0.03,0,0,-0.5,-1.9996,-3.1419,-0.1781,-0.001,-0.4781
0.03058,0,1,-0.5,-1.9996,-3.1419,-0.1781,-0.001,-0.4781
0.035,0,1,-0.5,-1.9994,-3.1421,-0.2137,-0.0014,-0.5737
0.03822,0,0,-0.5,-1.9994,-3.1421,-0.2137,-0.0014,-0.5737
0.04,0,0,-0.5,-1.9992,-3.1423,-0.2493,-0.002,-0.6694
0.045,0,0,-0.5,-1.999,-3.1426,-0.2849,-0.0027,-0.765
0.04586,0,1,-0.5,-1.999,-3.1426,-0.2849,-0.0027,-0.765
0.05,0,1,-0.5,-1.9987,-3.1429,-0.3205,-0.0034,-0.8606
0.05351,0,0,-0.5,-1.9987,-3.1429,-0.3205,-0.0034,-0.8606
0.055,0,0,-0.5,-1.9984,-3.1432,-0.356,-0.0043,-0.9562
0.06,0,0,-0.5,-1.9981,-3.1435,-0.3916,-0.0053,-1.0518
0.06115,0,1,-0.5,-1.9981,-3.1435,-0.3916,-0.0053,-1.0518
0.065,0,1,-0.5,-1.9977,-3.1439,-0.4272,-0.0063,-1.1475
0.0688,0,0,-0.5,-1.9977,-3.1439,-0.4272,-0.0063,-1.1475
0.07,0,0,-0.5,-1.9973,-3.1444,-0.4627,-0.0075,-1.2431
0.075,0,0,-0.5,-1.9969,-3.1448,-0.4982,-0.0087,-1.3387
0.07644,0,1,-0.5,-1.9969,-3.1448,-0.4982,-0.0087,-1.3387
0.08,0,1,-0.5,-1.9964,-3.1453,-0.5338,-0.01,-1.4343
0.08409,0,0,-0.5,-1.9964,-3.1453,-0.5338,-0.01,-1.4343
0.085,0,0,-0.5,-1.9959,-3.1459,-0.5693,-0.0115,-1.53
0.09,0,0,-0.5,-1.9954,-3.1464,-0.6048,-0.013,-1.6256
0.09173,0,1,-0.5,-1.9954,-3.1464,-0.6048,-0.013,-1.6256
0.095,0,1,-0.5,-1.9948,-3.147,-0.6402,-0.0146,-1.7212
0.09937,0,0,-0.5,-1.9948,-3.147,-0.6402,-0.0146,-1.7212
0.1,0,0,-0.5,-1.9942,-3.1477,-0.6757,-0.0164,-1.8168
0.105,0,0,-0.5,-1.9936,-3.1484,-0.7112,-0.0182,-1.9124
0.10702,0,1,-0.5,-1.9936,-3.1484,-0.7112,-0.0182,-1.9124
0.11,0,1,-0.5,-1.993,-3.1491,-0.7466,-0.0201,-2.008
0.11466,0,0,-0.5,-1.993,-3.1491,-0.7466,-0.0201,-2.008
0.115,0,0,-0.5,-1.9923,-3.1498,-0.782,-0.0221,-2.1037
0.12,0,0,-0.5,-1.9915,-3.1506,-0.8174,-0.0242,-2.1993
0.12231,0,1,-0.5,-1.9915,-3.1506,-0.8174,-0.0242,-2.1993
0.125,0,1,-0.5,-1.9908,-3.1514,-0.8528,-0.0264,-2.2949
0.12995,0,0,-0.5,-1.9908,-3.1514,-0.8528,-0.0264,-2.2949
0.13,0,0,-0.5,-1.99,-3.1523,-0.8881,-0.0287,-2.3905
0.135,0,0,-0.5,-1.9892,-3.1532,-0.9235,-0.0311,-2.4861
0.13759,0,1,-0.5,-1.9892,-3.1532,-0.9235,-0.0311,-2.4861
0.14,0,1,-0.5,-1.9883,-3.1541,-0.9588,-0.0336,-2.5817
0.145,0,1,-0.5,-1.9875,-3.155,-0.9941,-0.0361,-2.6774
0.14524,0,0,-0.5,-1.9875,-3.155,-0.9941,-0.0361,-2.6774
0.15,0,0,-0.5,-1.9865,-3.156,-1.0294,-0.0388,-2.773
0.15288,0,1,-0.5,-1.9865,-3.156,-1.0294,-0.0388,-2.773
0.155,0,1,-0.5,-1.9856,-3.1571,-1.0647,-0.0416,-2.8686
